"id_region";"region"
3029;"Рига/Латвия/"
3028;"Пярну/Эстония/"
3027;"Приморск (Калин. град. обл) /БМ/"
3026;"Полесск/БМ/"
3025;"Пионерск/БМ/"
3024;"Павилоста/Латвия/"
3023;"Насва/БМ/"
3022;"Мынту (Саарема о)/Эстония/"
3021;"Мийдуранд (рейд Таллинна)/Эстония/"
3020;"Мерсрагс/Латвия/"
3019;"Мамоново/БМ/"
3018;"Локса/Эстония/"
3017;"Лиепая/Латвия/"
3016;"Лиелупе/Латвия/"
3015;"Лехтма/Эстония/"
3014;"Санкт-Петербург/БМ/"
3013;"Куйвасту/Эстония/"
3012;"Кронштадт/БМ/"
3011;"Копли/Эстония/"
3010;"Колка/Латвия/"
3009;"Клайпеда/Литва/"
3008;"Кихелконне (Саарема о.)/Эстония/"
3007;"Кингисепп (Саарема о.)/Эстония/"
3006;"Калининград/БМ/"
3005;"Выборг/БМ/"
3004;"Виртсу/Эстония/"
3003;"Вентспилс/Латвия/"
3002;"Веере/Эстония/"
3001;"Балтийск/БМ/"
2999;"инпорт"
2781;"Зап.Сахал. №1 (СЗТО)"
2772;"Приморье. №2 (СЗТО)"
2771;"Приморье. № 1 (СЗТО)"
2753;"Вост.Сахал. (А) (СЗТО)"
2752;"Вост.Сахал. (Ю) (СЗТО)"
2751;"Вост.Сахал. (С) (СЗТО)"
2744;"Зап.Камч. №2 (СЗТО)"
2743;"Зап.Камч. №1 (СЗТО)"
2742;"Зап.Камч. (А) (СЗТО)"
2741;"Зап.Камч. (В) (СЗТО)"
2731;"Сев.Охотомор. №1 (СЗТО)"
2722;"Камчатско-Курильская №2 (СЗТО)"
2721;"Камчатско-Курильская №1 (СЗТО)"
4007;"Хомада/Япония в.ч.1/"
4008;"Тогиак/США з.ч./"
4009;"Нанджинг/Китай (КНР)/"
4010;"Хайчжоу/Китай (КНР)/"
4011;"Дзяньджин/Китай (КНР)/"
4012;"Райсут"
4013;"Анталья"
4014;"Акита-Фунагава"
4015;"Рейдово/ДВ (о.Итуруп)/"
4016;"Цукуми"
2035;"Бэйхай/Китай (КНР)/"
2034;"Олесунн/Норвегия ю.ч./"
2033;"Петерсбург (Аляска)/США з.ч./"
2032;"Тонхе/Южная Корея/"
2031;"Санбон/КНДР/"
2030;"Адак (Алеуты)/США з.ч."
2029;"Тогхо/Южная Корея/"
2028;"Понапе /Микронезия/"
2027;"Мунчхон /КНДР/"
2026;"Донхе (э) /Южная Корея"
2025;"Ашдод"
2024;"Грейвсенд/Великобритания в.ч./"
2023;"Ньюпорт/США в.ч.2/"
2022;"Беркли-Саунд (Фолкл.о-ва)/Бр.вл.в Ю.Атлан"
2021;"Финнснес/Норвегия с.ч./"
2020;"Снефиорд/Норвегия с.ч./"
2019;"Браттвог/Норвегия с.ч./"
2018;"Каофунг/Тайвань/"
2017;"Мукхохан/Южная Корея/"
2016;"Эскифьордур/Исландия/"
2015;"Бугейнес/Норвегия с.ч./"
2014;"Сторебе/Норвегия ю.ч./"
2013;"Эйдет/Норвегия с.ч./"
